title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,answer,image
Apparatus and Function,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,a,test_tube.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,b,measuring_cylinder.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,d,gas_jar.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,c,evaporating_dish.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,e,burette.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,f,pipette.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,g,filter_funnel.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,h,retort_stand.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,i,tripod_stand.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,j,wire_gauze.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,k,beaker.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,l,conical_flask.png
,radio,这是,Test tube / Tabung uji,Measuring cylinder / Silinder penyukat,Evaporating dish / Piring sejat,Gas jar / Balang gas,Burette / Buret,Pipette / Pipet,Filter funnel / Corong turas,Retort stand / Kaki retort,Tripod stand / Tungku kaki tiga,Wire gauze / Kasa dawai,Beaker / Bikar,Conical flask / Kelalang kon,Flat-bottom flask / Kelalang dasar leper,m,flat_bottom_flask.png
