title,type,question,A,B,C,D,E,F,answer,image
Hazard Symbols Examples,radio,Chlorofoam / Kloroform 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,A,
,radio,Ammonia 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,A,
,radio,Uranium 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,D,
,radio,Plutonium 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,D,
,radio,Concentrated acid / Asid pekat 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,B,
,radio,Concentrated alkali / Alkali pekat 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,B,
,radio,Mercury / Merkuri 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,E,
,radio,Chlorine / Klorin 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,E,
,radio,Hydrogen / Hidrogen 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,C,
,radio,Butane / Butana 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,C,
,radio,Alcohol / Alkohol 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,F,
,radio,Petrol 属于,Irritant / Bahan merengsa,Corrosive / Bahan mengakis,Explosive / Bahan mudah meletup,Radioactive / Bahan radioaktif,Poison / Toxic / Bahan beracun / toksik,Flammable / Bahan mudah terbakar,F,
