title,type,question,A,B,C,D,E,F,G,H,I,J,K,answer,image
人体系统,radio,这是,Excretory system / Sistem perkumuhan,Skeletal system / Sistem rangka,Lymphatic system / Sistem limfa,Digestive system / Sistem pencernaan,Muscular system / Sistem otot,Integumentary system / Sistem integumen,Nervous system / Sistem saraf,Blood circulatory system / Sistem peredaran darah,Respiratory system / Sistem respirasi,Endocrine system / Sistem endokrin,Reproductive system / Sistem pembiakan,A,excretory_system.png
,radio,这是,Excretory system / Sistem perkumuhan,Skeletal system / Sistem rangka,Lymphatic system / Sistem limfa,Digestive system / Sistem pencernaan,Muscular system / Sistem otot,Integumentary system / Sistem integumen,Nervous system / Sistem saraf,Blood circulatory system / Sistem peredaran darah,Respiratory system / Sistem respirasi,Endocrine system / Sistem endokrin,Reproductive system / Sistem pembiakan,B,skeletal_system.png
,radio,这是,Excretory system / Sistem perkumuhan,Skeletal system / Sistem rangka,Lymphatic system / Sistem limfa,Digestive system / Sistem pencernaan,Muscular system / Sistem otot,Integumentary system / Sistem integumen,Nervous system / Sistem saraf,Blood circulatory system / Sistem peredaran darah,Respiratory system / Sistem respirasi,Endocrine system / Sistem endokrin,Reproductive system / Sistem pembiakan,C,lymphatic_system.png
,radio,这是,Excretory system / Sistem perkumuhan,Skeletal system / Sistem rangka,Lymphatic system / Sistem limfa,Digestive system / Sistem pencernaan,Muscular system / Sistem otot,Integumentary system / Sistem integumen,Nervous system / Sistem saraf,Blood circulatory system / Sistem peredaran darah,Respiratory system / Sistem respirasi,Endocrine system / Sistem endokrin,Reproductive system / Sistem pembiakan,D,digestive_system.png
,radio,这是,Excretory system / Sistem perkumuhan,Skeletal system / Sistem rangka,Lymphatic system / Sistem limfa,Digestive system / Sistem pencernaan,Muscular system / Sistem otot,Integumentary system / Sistem integumen,Nervous system / Sistem saraf,Blood circulatory system / Sistem peredaran darah,Respiratory system / Sistem respirasi,Endocrine system / Sistem endokrin,Reproductive system / Sistem pembiakan,E,muscular_system.png
,radio,这是,Excretory system / Sistem perkumuhan,Skeletal system / Sistem rangka,Lymphatic system / Sistem limfa,Digestive system / Sistem pencernaan,Muscular system / Sistem otot,Integumentary system / Sistem integumen,Nervous system / Sistem saraf,Blood circulatory system / Sistem peredaran darah,Respiratory system / Sistem respirasi,Endocrine system / Sistem endokrin,Reproductive system / Sistem pembiakan,F,integumentary_system.png
,radio,这是,Excretory system / Sistem perkumuhan,Skeletal system / Sistem rangka,Lymphatic system / Sistem limfa,Digestive system / Sistem pencernaan,Muscular system / Sistem otot,Integumentary system / Sistem integumen,Nervous system / Sistem saraf,Blood circulatory system / Sistem peredaran darah,Respiratory system / Sistem respirasi,Endocrine system / Sistem endokrin,Reproductive system / Sistem pembiakan,G,nervous_system.png
,radio,这是,Excretory system / Sistem perkumuhan,Skeletal system / Sistem rangka,Lymphatic system / Sistem limfa,Digestive system / Sistem pencernaan,Muscular system / Sistem otot,Integumentary system / Sistem integumen,Nervous system / Sistem saraf,Blood circulatory system / Sistem peredaran darah,Respiratory system / Sistem respirasi,Endocrine system / Sistem endokrin,Reproductive system / Sistem pembiakan,H,blood_circulatory_system.png
,radio,这是,Excretory system / Sistem perkumuhan,Skeletal system / Sistem rangka,Lymphatic system / Sistem limfa,Digestive system / Sistem pencernaan,Muscular system / Sistem otot,Integumentary system / Sistem integumen,Nervous system / Sistem saraf,Blood circulatory system / Sistem peredaran darah,Respiratory system / Sistem respirasi,Endocrine system / Sistem endokrin,Reproductive system / Sistem pembiakan,I,respiratory_system.png
,radio,这是,Excretory system / Sistem perkumuhan,Skeletal system / Sistem rangka,Lymphatic system / Sistem limfa,Digestive system / Sistem pencernaan,Muscular system / Sistem otot,Integumentary system / Sistem integumen,Nervous system / Sistem saraf,Blood circulatory system / Sistem peredaran darah,Respiratory system / Sistem respirasi,Endocrine system / Sistem endokrin,Reproductive system / Sistem pembiakan,J,endocrine_system.png
,radio,这是,Excretory system / Sistem perkumuhan,Skeletal system / Sistem rangka,Lymphatic system / Sistem limfa,Digestive system / Sistem pencernaan,Muscular system / Sistem otot,Integumentary system / Sistem integumen,Nervous system / Sistem saraf,Blood circulatory system / Sistem peredaran darah,Respiratory system / Sistem respirasi,Endocrine system / Sistem endokrin,Reproductive system / Sistem pembiakan,K,reproductive_system.png
